,OutcomeType,Age,Size,HasName,TimeofDay,WeekDay,IsIntact,Sex,PureMixedHybrid,Group,IsMixColor
9318,Adoption,0,1,Yes,lateday,Tuesday,Yes,Male,Mixed,Herding,Yes
11530,Return to Owner,1,1,Yes,lateday,Tuesday,No,Male,Hybrid,Herding,Yes
6884,Transfer,0,1,No,lateday,Friday,Yes,Female,Mixed,Herding,No
11383,Transfer,1,0,Yes,midday,Thursday,No,Female,Mixed,Toy,No
32892,Transfer,1,0,Yes,midday,Wednesday,Yes,Male,Mixed,Toy,Yes
18200,Euthanasia,0,1,No,lateday,Sunday,Yes,Female,Mixed,PitBull,Yes
21924,Adoption,0,0,Yes,lateday,Wednesday,No,Female,Mixed,Toy,Yes
4479,Return to Owner,1,1,Yes,lateday,Saturday,No,Male,Mixed,PitBull,Yes
32712,Adoption,2,0,Yes,midday,Thursday,No,Male,Mixed,Hound,No
8150,Transfer,0,2,Yes,midday,Friday,Yes,Female,Mixed,Working,Yes
23172,Transfer,1,0,Yes,night,Monday,Yes,Female,Pure,Toy,Yes
5984,Adoption,0,2,Yes,morning,Tuesday,No,Male,Mixed,Working,Yes
2199,Return to Owner,2,0,Yes,midday,Tuesday,No,Female,Mixed,Terrier,Yes
14353,Return to Owner,1,0,Yes,midday,Tuesday,Yes,Male,Mixed,Toy,No
4739,Transfer,0,1,No,lateday,Sunday,Yes,Male,Mixed,NonSporting,Yes
8757,Adoption,2,1,Yes,morning,Friday,No,Female,Hybrid,PitBull,No
17309,Euthanasia,0,1,No,midday,Monday,Yes,Male,Mixed,PitBull,Yes
9397,Adoption,1,1,Yes,lateday,Thursday,No,Male,Mixed,PitBull,Yes
2178,Adoption,1,0,No,lateday,Monday,No,Male,Pure,Terrier,No
32795,Transfer,0,0,Yes,night,Sunday,No,Male,Mixed,Toy,No
5768,Adoption,0,1,Yes,lateday,Sunday,No,Female,Mixed,Sporting,No
8662,Return to Owner,1,1,Yes,midday,Monday,Yes,Female,Mixed,PitBull,No
31594,Return to Owner,2,1,Yes,midday,Wednesday,No,Female,Mixed,NonSporting,No
3735,Adoption,1,1,Yes,midday,Sunday,No,Female,Hybrid,Herding,Yes
24542,Return to Owner,1,0,Yes,lateday,Wednesday,No,Male,Mixed,NonSporting,Yes
17619,Adoption,0,0,Yes,lateday,Monday,No,Male,Mixed,Toy,No
23699,Adoption,1,2,Yes,lateday,Saturday,No,Female,Mixed,Herding,No
21079,Transfer,1,0,Yes,lateday,Monday,No,Female,Mixed,Toy,Yes
20092,Euthanasia,2,1,Yes,lateday,Friday,Yes,Male,Mixed,Herding,No
6662,Euthanasia,0,1,Yes,lateday,Friday,No,Male,Mixed,PitBull,Yes
32779,Return to Owner,2,1,Yes,lateday,Saturday,No,Female,Hybrid,PitBull,Yes
3007,Adoption,0,1,Yes,midday,Sunday,No,Female,Mixed,PitBull,No
24575,Return to Owner,1,0,Yes,midday,Friday,No,Male,Mixed,Terrier,Yes
28509,Return to Owner,1,1,Yes,lateday,Wednesday,No,Female,Mixed,PitBull,No
21408,Adoption,0,0,Yes,lateday,Friday,No,Male,Hybrid,Hound,Yes
31193,Transfer,0,0,No,lateday,Sunday,Yes,Male,Mixed,Toy,Yes
4779,Return to Owner,1,1,Yes,lateday,Monday,No,Male,Mixed,PitBull,Yes
26251,Return to Owner,2,1,Yes,midday,Tuesday,Yes,Male,Mixed,NonSporting,No
25982,Adoption,0,2,Yes,lateday,Friday,No,Male,Mixed,Herding,Yes
6886,Return to Owner,1,0,Yes,lateday,Friday,No,Male,Mixed,Toy,Yes
14467,Adoption,0,1,Yes,midday,Saturday,No,Male,Mixed,Herding,No
15027,Adoption,0,0,No,midday,Saturday,No,Female,Mixed,Terrier,Yes
12078,Return to Owner,1,1,Yes,midday,Monday,No,Male,Mixed,PitBull,Yes
20728,Adoption,1,1,Yes,midday,Saturday,No,Male,Mixed,Working,No
13271,Return to Owner,2,1,Yes,midday,Friday,No,Male,Pure,PitBull,Yes
14811,Transfer,2,1,Yes,midday,Thursday,No,Female,Mixed,NonSporting,No
20140,Transfer,2,0,Yes,midday,Sunday,No,Male,Mixed,Toy,No
27839,Adoption,0,2,No,lateday,Sunday,No,Female,Mixed,Working,Yes
12259,Adoption,0,1,Yes,midday,Sunday,No,Male,Mixed,Working,Yes
122,Adoption,1,0,Yes,midday,Saturday,No,Female,Hybrid,Terrier,No
1577,Transfer,0,1,Yes,midday,Sunday,No,Female,Mixed,PitBull,Yes
10195,Adoption,0,1,Yes,lateday,Thursday,No,Female,Mixed,PitBull,Yes
19063,Transfer,0,1,Yes,midday,Monday,No,Female,Mixed,Herding,Yes
27108,Return to Owner,0,0,Yes,midday,Saturday,Yes,Male,Mixed,Toy,Yes
